Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2004-08-19,100.01,104.06,95.96,100.335,44659000.0,0.0,1.0,50.1598386166,52.1911089535,48.1285682796,50.3228417917,44659000.0
2004-08-20,101.01,109.08,100.5,108.31,22834300.0,0.0,1.0,50.6613868479,54.7088810748,50.4055972499,54.3226889367,22834300.0
2004-08-23,110.76,113.48,109.05,109.4,18256100.0,0.0,1.0,55.5514821035,56.9156932927,54.6938346279,54.8693765089,18256100.0
2004-08-24,111.24,111.6,103.57,104.87,15247300.0,0.0,1.0,55.7922252545,55.9727826178,51.9453503201,52.5973630209,15247300.0
2004-08-25,104.76,108.0,103.88,106.0,9188600.0,0.0,1.0,52.5421927154,54.167208985,52.1008302719,53.1641125223,9188600.0
2004-08-26,104.95,107.95,104.66,107.91,7094800.0,0.0,1.0,52.6374868794,54.1421315734,52.4920378923,54.1220696442,7094800.0
2004-08-27,108.1,108.62,105.69,106.15,6211700.0,0.0,1.0,54.2173638081,54.4781688884,53.0086325706,53.239344757,6211700.0
2004-08-30,105.28,105.49,102.01,102.01,5196700.0,0.0,1.0,52.8029977957,52.9083229243,51.1629350792,51.1629350792,5196700.0
2004-08-31,102.32,103.71,102.16,102.37,4917800.0,0.0,1.0,51.318415031,52.0155670725,51.2381673139,51.3434924425,4917800.0
2004-09-01,102.7,102.97,99.67,100.25,9138200.0,0.0,1.0,51.5090033589,51.6444213813,49.9893122179,50.2802101921,9138200.0
2004-09-02,99.09,102.37,98.94,101.51,15118600.0,0.0,1.0,49.6984142437,51.3434924425,49.623182009,50.9121609636,15118600.0
2004-09-03,100.95,101.74,99.32,100.01,5152400.0,0.0,1.0,50.631293954,51.0275170568,49.8137703369,50.1598386166,5152400.0
2004-09-07,101.01,102.0,99.61,101.58,5847500.0,0.0,1.0,50.6613868479,51.1579195969,49.959219324,50.9472693398,5847500.0
2004-09-08,100.74,103.03,100.5,102.3,4985600.0,0.0,1.0,50.5259688254,51.6745142752,50.4055972499,51.3083840663,4985600.0
2004-09-09,102.5,102.71,101.0,102.31,4061700.0,0.0,1.0,51.4086937126,51.5140188412,50.6563713656,51.3133995487,4061700.0
2004-09-10,101.47,106.56,101.3,105.33,8698800.0,0.0,1.0,50.8920990343,53.4449795319,50.806835835,52.8280752073,8698800.0
2004-09-13,106.63,108.41,106.46,107.5,7844100.0,0.0,1.0,53.4800879081,54.3728437598,53.3948247087,53.9164348693,7844100.0
2004-09-14,107.44,112.0,106.79,111.49,10828900.0,0.0,1.0,53.8863419754,56.1734019104,53.5603356251,55.9176123124,10828900.0
2004-09-15,110.56,114.23,110.2,112.0,10713000.0,0.0,1.0,55.4511724572,57.2918544663,55.2706150939,56.1734019104,10713000.0
2004-09-16,112.34,115.8,111.65,113.97,9266300.0,0.0,1.0,56.343928309,58.0792851895,55.9978600294,57.1614519261,9266300.0
2004-09-17,114.42,117.49,113.55,117.49,9472500.0,0.0,1.0,57.3871486302,58.9269017004,56.9508016689,58.9269017004,9472500.0
2004-09-20,116.95,121.6,116.77,119.36,10628700.0,0.0,1.0,58.6560656555,60.9882649312,58.5657869739,59.864796893,10628700.0
2004-09-21,120.2,120.42,117.51,117.84,7228700.0,0.0,1.0,60.2860974074,60.3964380183,58.9369326651,59.1024435814,7228700.0
2004-09-22,117.45,119.67,116.81,118.38,7581200.0,0.0,1.0,58.9068397712,60.0202768448,58.5858489031,59.3732796263,7581200.0
2004-09-23,118.84,122.63,117.02,120.82,8535600.0,0.0,1.0,59.6039918127,61.5048596095,58.6911740317,60.5970573108,8535600.0
2004-09-24,120.97,124.1,119.76,119.83,9123400.0,0.0,1.0,60.6722895455,62.2421355096,60.0654161856,60.1005245618,9123400.0
2004-09-27,119.56,120.88,117.8,118.26,7066100.0,0.0,1.0,59.9651065393,60.6271502047,59.0823816521,59.3130938386,7066100.0
2004-09-28,121.15,127.4,120.21,126.86,16929000.0,0.0,1.0,60.7625682271,63.897244673,60.2911128897,63.6264086281,16929000.0
2004-09-29,126.53,135.02,126.23,131.08,30516400.0,0.0,1.0,63.4608977118,67.7190421959,63.3104332424,65.7429421644,30516400.0
2004-09-30,129.899,132.3,129.0,129.6,13758000.0,0.0,1.0,65.1506137032,66.3548310066,64.6997218432,65.000650782,13758000.0
2004-10-01,130.8,134.24,128.9,132.58,15124800.0,0.0,1.0,65.6025086596,67.3278345754,64.64956702,66.4952645114,15124800.0
2004-10-04,135.275,136.87,134.03,135.06,13022700.0,0.0,1.0,67.8469369949,68.6469064238,67.2225094468,67.7391041251,13022700.0
2004-10-05,134.66,138.53,132.24,138.37,14973200.0,0.0,1.0,67.5384848326,69.4794764879,66.3247381127,69.3992287709,14973200.0
